date,nav,returns
2024-01-02,998502264.8121703,
2024-01-03,1008232961.9612279,0.009745293017325407
2024-01-04,1008117833.4650158,-0.00011418838756094285
2024-01-05,1007150657.4874046,-0.0009593878270032219
2024-01-08,1002930494.4836392,-0.004190200316498416
2024-01-09,999672679.6687855,-0.0032482957022171854
2024-01-10,1000409608.9756141,0.0007371705977528009
2024-01-11,996987490.5528408,-0.003420717266277906
2024-01-12,1001410361.443649,0.004436235090929497
2024-01-15,997289916.3035793,-0.004114642007627789
2024-01-16,998257359.7012988,0.000970072375047426
2024-01-17,996727105.6956089,-0.0015329253431678458
2024-01-18,998385291.4905822,0.001663630682358308
2024-01-19,1005780549.1949561,0.007407218202636789
2024-01-22,1005826977.2503859,4.6161218236973056e-05
2024-01-23,1003744901.837256,-0.002070013491606293
2024-01-24,1001064459.5064563,-0.0026704417884398923
2024-01-25,998249994.251831,-0.0028114725559359455
2024-01-26,1000517950.8496327,0.002271932492723394
2024-01-29,1000759418.0872285,0.00024134223418048606
2024-01-30,998829277.3195138,-0.0019286760962028415
2024-01-31,990035851.0117044,-0.008803733037749617
2024-02-01,991216923.5230055,0.0011929593358606105
2024-02-02,991464765.7110316,0.000250038293479804
2024-02-05,1005210878.306986,0.01386444891573757
2024-02-06,1007110339.4019618,0.0018896145435423062
2024-02-07,1008268822.944508,0.0011503044872263057
2024-02-15,1008655624.2525764,0.00038362914657907865
2024-02-16,1017131944.5712082,0.008403582069859583
2024-02-19,1020648864.0374641,0.003457682638940751
2024-02-20,1027041427.9705428,0.006263235240169696
2024-02-21,1028322812.5815346,0.0012476464688710998
2024-02-22,1031828115.5812483,0.0034087574026622214
2024-02-23,1028959770.1496965,-0.0027798674878480867
2024-02-26,1033126748.5901862,0.004049700057645156
2024-02-27,1041049686.4920115,0.007668892430320984
2024-02-28,1043443064.0311717,0.0022990041399704175
2024-02-29,1036157554.0068719,-0.0069821826177590696
2024-03-01,1037591694.7316618,0.0013840952268735496
2024-03-04,1039105598.6304522,0.001459055528756803
2024-03-05,1042388392.6749406,0.003159249693982291
2024-03-06,1032406064.9185477,-0.009576399570966565
2024-03-07,1030073984.8713135,-0.0022588786781471137
2024-03-08,1011201636.8685043,-0.01832135194169271
2024-03-11,1001432393.6593072,-0.009661023927384549
2024-03-12,1017065413.2606778,0.015610658992412318
2024-03-13,1028648382.2378857,0.011388617512882782
2024-03-14,1022293473.7307227,-0.006177921063111547
2024-03-15,1023294413.6153238,0.000979112075271571
2024-03-18,1019022472.1328175,-0.004174694423878855
2024-03-19,1017645727.4361887,-0.0013510444904588637
2024-03-20,1019674236.5245411,0.0019933352380527847
2024-03-21,1027050621.1012378,0.007234059969817741
2024-03-22,1026142546.2040404,-0.0008841578774605452
2024-03-25,1023882282.9223788,-0.002202679627721249
2024-03-26,1035572277.9306824,0.011417323263898993
2024-03-27,1032272798.5116229,-0.003186141121557129
2024-03-28,1037777933.3638151,0.005333023266843595
2024-03-29,1039630523.43295,0.0017851507625816776
2024-04-01,1036034463.1785116,-0.0034589791020793736
2024-04-02,1051828166.1434779,0.015244379918127215
2024-04-03,1043566936.483743,-0.00785416280496154
2024-04-04,1042711145.4608635,-0.0008200633739537944
2024-04-05,1028138695.9432976,-0.013975538269637489
2024-04-08,1029502741.6153531,0.0013267136792318723
2024-04-09,1032486696.0896834,0.0028984424749061155
2024-04-10,1032521743.0012381,3.394417738022959e-05
2024-04-11,1026374770.5270989,-0.005953358867070269
2024-04-12,1028426723.2973723,0.001999223703851971
2024-04-15,1017014013.4800338,-0.01109725132457351
2024-04-16,1023386951.4886265,0.006266322709542305
2024-04-17,1015014023.4113295,-0.00818158572875849
2024-04-19,1011043698.7911949,-0.00391159582878553
2024-04-22,1023818693.9241166,0.012635452995944263
2024-04-23,1018405835.9176321,-0.005286930233455722
2024-04-24,1028438391.0769383,0.00985123494531659
2024-04-25,1028592583.8809932,0.0001499290627351435
2024-04-26,1030090030.5041804,0.0014558209408210843
2024-05-02,1029290572.0595553,-0.0007761054091881547
2024-05-03,1029794986.913882,0.0004900606961912857
2024-05-06,1041956437.5985506,0.011809584275715324
2024-05-07,1051440200.1328399,0.009101880071058499
2024-05-08,1055172151.6387556,0.003549371143926283
2024-05-09,1050889088.3943932,-0.004059113233523481
2024-05-10,1050156541.2664661,-0.0006970736836237057
2024-05-13,1041728002.0158057,-0.00802598366953533
2024-05-14,1048492613.2348909,0.006493644411972532
2024-05-15,1059594516.0435618,0.010588441605152044
2024-05-16,1061248148.6752675,0.0015606277747455266
2024-05-17,1063589355.9865162,0.002206088476263801
2024-05-20,1061273744.4485416,-0.002177166897112115
2024-05-21,1063503687.9221451,0.002101195365727504
2024-05-22,1065520032.237021,0.0018959448263082823
2024-05-23,1076343819.1826215,0.010158220041040833
2024-05-24,1074638488.429447,-0.0015843736200107372
2024-05-27,1076222324.2069042,0.001473831241399104
2024-05-28,1082731528.9998832,0.006048197149019163
2024-05-29,1082074764.7251456,-0.0006065809086988061
2024-05-30,1088789429.8409405,0.006205361528323294
2024-05-31,1088463765.392056,-0.00029910691632273334
2024-06-03,1097312460.2060835,0.008129526306133172
2024-06-04,1099435442.8973765,0.0019347111859955302
2024-06-05,1098473930.767432,-0.0008745507852745416
2024-06-06,1095543954.5856206,-0.0026673151722084176
2024-06-07,1095383931.3256464,-0.00014606740268563456
2024-06-10,1096505638.9979062,0.0010240315200737982
2024-06-11,1089260292.709406,-0.006607668972064551
2024-06-12,1090844246.228348,0.0014541552001332558
2024-06-13,1089626455.6688008,-0.0011163743712796492
2024-06-14,1076642421.800986,-0.01191604131880708
2024-06-17,1088274192.1016805,0.01080374511087645
2024-06-18,1113276441.340733,0.02297421864867344
2024-06-19,1113268175.4586542,-7.4248243939756264e-06
2024-06-20,1113510531.8245573,0.0002176980993848776
2024-06-21,1132593262.7479248,0.01713744987404775
2024-06-24,1116214323.3334112,-0.014461448741779237
2024-06-25,1115984901.390984,-0.00020553574491144477
2024-06-26,1117710968.708476,0.0015466762277345225
2024-06-27,1115218099.6075654,-0.002230334290976077
2024-06-28,1112165724.4477994,-0.002737020822061731
2024-07-01,1115087168.6653543,0.002626806557094019
2024-07-02,1120108524.0984378,0.004503105742929225
2024-07-03,1119395455.488987,-0.0006366067163221523
2024-07-04,1129635351.3277261,0.00914770181398139
2024-07-05,1129007841.5380204,-0.0005554976559190017
2024-07-08,1127477387.1387744,-0.0013555746407934999
2024-07-09,1124283599.252349,-0.002832684648807371
2024-07-10,1116291548.583199,-0.007108571782479589
2024-07-11,1113147179.7062366,-0.0028167989634547697
2024-07-12,1111724780.544568,-0.0012778176934733487
2024-07-15,1115187540.6885514,0.003114763837761325
2024-07-16,1115492653.4975598,0.0002735977563199654
2024-07-17,1114365470.4195366,-0.001010480055147811
2024-07-18,1118281004.1254537,0.003513689009444043
2024-07-19,1114789986.7749176,-0.0031217711269863058
2024-07-22,1096540374.4223738,-0.016370448756307776
2024-07-23,1073534530.6899221,-0.02098038911204747
2024-07-24,1085309313.01997,0.010968238089631432
2024-07-25,1078660264.7796154,-0.006126408536800465
2024-07-26,1070385433.7662246,-0.007671396901860916
2024-07-29,1076376705.6181903,0.005597303235793216
2024-07-30,1076231427.6046755,-0.00013496948861535518
2024-07-31,1077737286.2199748,0.001399195913327711
2024-08-01,1065917237.903609,-0.010967467181007606
2024-08-02,1078749842.2561343,0.012039025072681842
2024-08-05,1070658845.7570398,-0.007500345475993542
2024-08-06,1078566686.8442676,0.0073859578320079056
2024-08-07,1073539897.2952043,-0.004660620071412547
2024-08-08,1072340511.6807112,-0.0011172250025499597
2024-08-09,1075877802.7754145,0.0032986640494996333
2024-08-12,1075341553.1163082,-0.0004984298939181286
2024-08-13,1073577107.6674852,-0.0016408232749024476
2024-08-14,1075257962.8222735,0.0015656585286549785
2024-08-15,1071156946.7848072,-0.0038139834153864127
2024-08-16,1080824681.1358693,0.009025506841066289
2024-08-19,1081234712.3275113,0.0003793688271545026
2024-08-20,1085224875.3979084,0.0036903764047750975
2024-08-21,1082166909.731997,-0.0028178175189637056
2024-08-22,1079054877.2730045,-0.0028757416540884373
2024-08-23,1079097879.46246,3.985171686937683e-05
2024-08-26,1079397004.9790392,0.00027719961485628275
2024-08-27,1077736064.6797585,-0.0015387668222341944
2024-08-28,1077891706.727191,0.00014441573640633365
2024-08-29,1077794326.7043326,-9.034304861110787e-05
2024-08-30,1078783875.333027,0.0009181238054203344
2024-09-04,1078112273.884575,-0.000622554214804727
2024-09-05,1076587454.8692904,-0.001414341578535594
2024-09-06,1078465583.8719366,0.0017445206092190357
2024-09-09,1074883301.6470816,-0.003321647235133618
2024-09-10,1070645549.5715296,-0.003942522940916793
2024-09-11,1062011183.3674166,-0.00806463559071302
2024-09-12,1056039847.2332296,-0.005622667847294371
2024-09-13,1053113156.8101709,-0.002771382567359093
2024-09-16,1048438548.8453767,-0.004438846798717533
2024-09-17,1059451420.1778685,0.010504069451299669
2024-09-18,1057141347.5790594,-0.0021804422126512346
2024-09-19,1058542617.4715879,0.0013255274668213524
2024-09-20,1059722518.386721,0.0011146465864089183
2024-09-23,1059227780.6257881,-0.00046685594799489305
2024-09-24,1060567432.2918231,0.0012647437034210007
2024-09-25,1059816655.0509906,-0.0007079014666800942
2024-09-26,1064964840.5155847,0.004857618947634368
2024-09-27,1064075053.5481453,-0.0008355083037376865
2024-09-30,1062181383.9549952,-0.0017796391211650775
2024-10-01,1063033809.0306492,0.0008025230798907046
2024-10-02,1062762158.2140086,-0.00025554296987817526
2024-10-03,1061887944.9343249,-0.00082258600659324
2024-10-04,1054056055.386941,-0.007375438797234235
2024-10-07,1058053241.2615561,0.003792194783367453
2024-10-08,1055656102.4662263,-0.002265612638236991
2024-10-09,1062354693.5258846,0.006345429201810138
2024-10-10,1060506066.2466147,-0.0017401224756060651
2024-10-11,1061829932.2997016,0.0012483342577873646
2024-10-14,1061101424.1218388,-0.0006860874380184567
2024-10-15,1060823005.9171919,-0.00026238604370676377
2024-10-16,1059865567.6003942,-0.0009025429420903563
2024-10-17,1061543804.2223496,0.001583442913194233
2024-10-18,1063054689.5832028,0.0014232906403330858
2024-10-21,1054803161.939302,-0.007762091381334324
2024-10-22,1050701548.0015955,-0.0038885112272184497
2024-10-23,1052911129.4924645,0.002102958252104603
2024-10-24,1048860441.8076953,-0.0038471316061801097
2024-10-25,1047658182.5954933,-0.0011462527942515122
2024-10-28,1049820153.115577,0.0020636220439069763
2024-10-29,1050210005.5564566,0.0003713516450627452
2024-10-30,1048019141.2716146,-0.002086120179059958
2024-10-31,1051193939.1393294,0.00302933194890187
2024-11-01,1044643879.0576835,-0.006231067206312946
2024-11-04,1034456443.443327,-0.009752065578124136
2024-11-05,1034517938.1352133,5.944638102084454e-05
2024-11-06,1039019672.693417,0.004351528757750023
2024-11-07,1037674796.4746562,-0.0012943703128107664
2024-11-08,1032578503.0559996,-0.004911262599776367
2024-11-11,1035943931.4083447,0.003259246965131357
2024-11-12,1034387271.3782663,-0.0015026489203543436
2024-11-13,1033317692.0415487,-0.0010340221368854152
2024-11-14,1024193112.2889655,-0.008830372133235787
2024-11-15,1017157930.7830085,-0.006868999040848922
2024-11-18,1015457924.3306751,-0.0016713298897691464
2024-11-19,1007031978.1165168,-0.008297681284738734
2024-11-20,1010263055.4140562,0.003208515089642372
2024-11-21,1013086147.673209,0.0027944130432402403
2024-11-22,1011015544.61822,-0.0020438568425248382
2024-11-25,1011162445.0670114,0.00014529989135514398
2024-11-26,1012238013.2577243,0.0010636947564262034
2024-11-27,1012261045.0524454,2.2753339055991972e-05
2024-11-28,1010028363.5439042,-0.0022056380806647624
2024-11-29,1012975913.7365465,0.0029182845740096663
2024-12-02,1017033053.2517254,0.00400516879045365
2024-12-03,1015184422.7070735,-0.0018176700734960916
2024-12-04,1016911277.9328368,0.0017010261260299586
2024-12-05,1021878689.6826422,0.004884803480499356
2024-12-06,1025629117.6014528,0.0036701302773769484
2024-12-09,1026480315.0223718,0.0008299271211309467
2024-12-10,1026343166.5362656,-0.00013361043957593743
2024-12-11,1022915126.4522817,-0.0033400525241016332
2024-12-12,1021058951.9940302,-0.0018145928340009831
2024-12-13,1019899888.6696372,-0.0011351580847800413
2024-12-16,1019044652.9918482,-0.0008385486529511876
2024-12-17,1018048762.6599404,-0.0009772784038304394
2024-12-18,1020244868.6926109,0.0021571717517072653
2024-12-19,1017021007.7461165,-0.0031598894004980504
2024-12-20,1017681640.3570502,0.0006495761699139013
2024-12-23,1023476294.8376796,0.005693975650967298
2024-12-24,1023401252.5541363,-7.332097863121945e-05
2024-12-25,1025625483.447207,0.0021733712827882723
2024-12-26,1024639056.3331474,-0.0009617810106903324
2024-12-27,1031387593.1855984,0.006586257678486085
2024-12-30,1031807405.9211966,0.0004070368291919646
2024-12-31,1022738317.5293207,-0.008789516667385255
2025-01-02,1022750085.699702,1.1506531220728533e-05
2025-01-03,1014611919.1650783,-0.00795714089728583
2025-01-06,1005133716.4653949,-0.009341702497919657
2025-01-07,1005873308.1423204,0.0007358142153726099
2025-01-08,1004758591.9703757,-0.0011082073288170013
2025-01-09,998097773.6690915,-0.006629272299351063
2025-01-10,988378893.5867808,-0.009737402826361596
2025-01-13,991070120.2028711,0.002722869370797687
2025-01-14,984402885.1870265,-0.006727309077262711
2025-01-15,986729835.842169,0.002363819418002233
2025-01-16,989996183.8006308,0.0033102758625656037
2025-01-17,991911097.0432088,0.001934263256679003
2025-01-20,989608461.9402366,-0.002321412785718624
2025-01-21,989588977.0318253,-1.968951273223496e-05
2025-01-22,986742555.8744684,-0.0028763670811031705
2025-01-23,992287340.3659708,0.005619281806072074
2025-01-24,991836594.0660927,-0.0004542497737720641
2025-02-03,985549026.91295,-0.006339317575858372
2025-02-04,987290455.0259781,0.0017669624396898787
2025-02-05,986116037.6102002,-0.0011895358754856478
2025-02-06,986465401.5975939,0.0003542828369775819
2025-02-07,985167214.902059,-0.0013159982027068917
2025-02-10,981670802.881937,-0.003549054381057015
2025-02-11,985290669.5253903,0.0036874547280272285
2025-02-12,984526853.4941474,-0.0007752189834607792
2025-02-13,986165524.5019236,0.0016644248980719478
2025-02-14,988134620.4662763,0.001996719531791813
2025-02-17,987856732.4034078,-0.00028122490307780357
2025-02-18,988960035.3413645,0.0011168653325592803
2025-02-19,990594049.8286526,0.0016522553277131813
2025-02-20,990811652.6383157,0.00021966900538195056
2025-02-21,990726472.5477829,-8.59700128738039e-05
2025-02-24,991003711.8713219,0.0002798343753005472
2025-02-25,989761772.935689,-0.0012532132026910059
2025-02-26,988645030.5225588,-0.0011282941447797734
2025-02-27,988403452.1407636,-0.0002443530026823293
2025-02-28,987065916.3323985,-0.0013532285884556572
2025-03-03,991806132.9064462,0.0048023303161564
2025-03-04,994390423.8514236,0.0026056412228510073
2025-03-05,991768913.1598958,-0.0026362992127120233
2025-03-06,995521285.9293548,0.003783515211727595
2025-03-07,995592601.4039625,7.163631317141927e-05
2025-03-10,998125723.4475129,0.002544335946227605
2025-03-11,997431482.4650677,-0.0006955446254277575
2025-03-12,994837182.9534831,-0.0026009801747715056
2025-03-13,1002905263.8446693,0.008109951084893652
2025-03-14,1002894122.919869,-1.1108651237545786e-05
